index	type	side	filled_price	qty	profit	note	atr
10:04:00	limit	BUY	120.31	826	0	NORM	None
10:05:00	limit	SELL	120.1201	826	-123.9000000000047	NORM	0.34144773317866983
10:12:00	limit	SHORTSELL	119.0907	834	0	NORM	None
10:28:00	limit	SHORTBUY	117.94000000000001	-834	982.2018000000013	NORM	0.36072848318715134
10:59:00	limit	BUY	118.2899	840	0	NORM	None
11:00:00	limit	SELL	118.05499999999999	840	-201.51600000000485	NORM	0.1965170857345244
11:07:00	limit	SHORTSELL	117.46499999999999	846	0	NORM	None
11:09:00	limit	SHORTBUY	116.96000000000001	-846	435.68999999998846	NORM	0.2166193964129929
11:52:00	limit	BUY	117.2616	847	0	NORM	None
11:53:00	limit	SELL	117.3307	847	70.63979999999786	NORM	0.1897097749022936
11:55:00	limit	SHORTSELL	117.19	848	0	NORM	None
12:05:00	limit	SHORTBUY	117.58	-848	-322.23999999999614	ATR Failsafe	0.1887099112432756
12:27:00	limit	BUY	117.47500000000001	846	0	NORM	None
12:28:00	limit	SELL	117.57939999999999	846	89.08379999998775	NORM	0.15726363907662183
12:29:00	limit	SHORTSELL	117.47	846	0	NORM	None
12:32:00	limit	SHORTBUY	117.07300000000001	-846	346.8599999999971	NORM	0.1633083827888072
13:30:00	limit	BUY	116.14	856	0	NORM	None
13:32:00	limit	SELL	116.44999999999999	856	286.75999999999465	NORM	0.18864003276950334
13:34:00	limit	SHORTSELL	116.74499999999999	851	0	NORM	None
13:59:00	limit	SHORTBUY	117.345	-851	-501.0688000000053	ATR Failsafe	0.23213948955924107
14:31:00	limit	BUY	117.955	842	0	NORM	None
14:32:00	limit	SELL	117.9506	842	12.630000000000479	NORM	0.1434569039182286
14:50:00	limit	SHORTSELL	117.49499999999999	846	0	NORM	None
14:58:00	limit	SHORTBUY	117.86	-846	-304.56000000001154	ATR Failsafe	0.1777020574353652
15:16:00	limit	BUY	117.52000000000001	845	0	NORM	None
15:17:00	limit	SELL	117.52149999999999	845	8.53449999999512	NORM	0.12042059417377195
15:18:00	limit	SHORTSELL	117.445	846	0	NORM	None
15:32:00	limit	SHORTBUY	117.125	-846	279.1799999999986	NORM	0.1279052941899622